,UUID,SRC HOSTNAME,DST HOSTNAME,THROUGHPUT (mean),LATENCY (mean),RETRANSMITS (mean),BYTES (mean)
758,67881828-6b99-49bc-911e-f77c098e68b8,localhost,kans-pt1.es.net,9860016135.09972,22520.575,1167870,1769554.6666666667
759,e7eac0e9-9e65-4926-82c3-48c160cc3785,localhost,kans-pt1.es.net,9828716281.545067,22523.35,1166491,1485565.3333333333
760,509ef7c0-6bf5-4ecb-a0e6-30763ae3c982,localhost,kans-pt1.es.net,9885622522.402086,22521.633333333335,1145050,1531791.2666666666
761,33b7cc04-8dfe-4daf-9933-7067f1db2001,localhost,kans-pt1.es.net,9853136668.64693,22409.358333333334,1212786,1462676.0666666667
762,d78fca96-3a09-483d-bb3a-218cec93303e,localhost,denv-pt1.es.net,9783731672.302187,27815.6,1186770,2143013.2
763,aa143aac-a45b-4c48-ac97-3d8635fcb49f,localhost,denv-pt1.es.net,9797746304.244253,27937.758333333335,1175975,1793487.8666666667
764,bdf700aa-011e-43e5-a656-d2121ecf5730,localhost,denv-pt1.es.net,9785538383.189934,27563.85,1106869,2207505.2666666666
765,79d6f112-4841-40a0-b3aa-c88e4eed2699,localhost,denv-pt1.es.net,9915816559.261925,27627.075,1203501,1701930.8
766,377b1ce8-fe5e-4bf0-b56f-611716da8cef,localhost,denv-pt1.es.net,9803215059.91915,27811.45,1151479,1618725.2
767,6a105f42-6b2b-4bd1-b9d3-2cd4fe9c3665,localhost,sacr-pt1.es.net,9579037770.08828,38073.34166666667,1034965,2553898.8
768,44e720b6-bec1-4df3-a622-9235e4a520c0,localhost,sacr-pt1.es.net,9126340251.56071,38895.541666666664,972658,2098726.0
769,bc660287-2107-412a-913e-98c1db04fc98,localhost,sacr-pt1.es.net,9585640891.7204,37831.73333333333,1051163,2207952.6666666665
770,7b3ee934-b716-47a0-b90f-24a71f4761bd,localhost,sacr-pt1.es.net,9533680390.795395,37880.816666666666,998759,2181036.8
771,30328e9e-0660-4cdd-821b-dfddbc796ce4,localhost,sacr-pt1.es.net,9697162267.203764,37913.041666666664,1101612,2251643.3333333335
772,1b356d70-ca1a-4a67-957c-d131956610c7,localhost,cern-773-pt1.es.net,9412809902.749897,47463.25833333333,885986,2232929.8
773,1a328bcc-9574-4b02-a063-229b48b68934,localhost,cern-773-pt1.es.net,9391510890.85538,47938.208333333336,928697,2141969.2666666666
774,cec0825a-7ebd-47c9-9d23-ed461fe679a3,localhost,cern-773-pt1.es.net,9465116098.481426,47851.433333333334,1010367,2357290.8
775,e3ce5762-86fd-405c-b1e1-3be2c09198fb,localhost,cern-773-pt1.es.net,9501233320.773363,47794.2,1045559,1970785.8
776,6cccc094-c88d-40c4-a510-15eec8cb6501,localhost,cern-773-pt1.es.net,9454042111.496124,47853.0,961748,2054587.9333333333
777,638bce75-ffcb-403a-bf47-e8c8ecc01c4c,localhost,tau.ijs.si,8421703470.10305,51578.34166666667,5573662,2043263.0666666667
778,b2fe72ea-24b7-4c84-a6e6-c85a9f98760f,localhost,tau.ijs.si,8371017817.18516,51473.308333333334,5855653,2139115.2
779,e9029741-9157-4928-b8b5-6ec4fce7bf73,localhost,tau.ijs.si,8271247101.807016,51510.98333333333,5529089,1918489.8666666667
780,eaa0cb8f-e13f-46a9-9a4b-d901c9acb5fe,localhost,tau.ijs.si,8453239798.655692,51769.89166666667,5556286,2379413.8666666667
781,d8814779-96a0-49a4-b26a-f57843c5909b,localhost,tau.ijs.si,8419045896.944275,51403.11666666667,5382141,2182805.8666666667
782,b400661b-d36b-421b-99e8-93f6c64d9273,localhost,lcgps02.gridpp.rl.ac.uk,7148820438.978002,38992.675,2770602,1809263.2
783,55af5d01-8c93-47bb-9fc1-20f441f42e5c,localhost,lcgps02.gridpp.rl.ac.uk,7360913063.14852,39038.666666666664,3037547,1700036.5333333334
784,b4752e7b-eb8d-47f5-899d-6e24bf961ad9,localhost,lcgps02.gridpp.rl.ac.uk,7299300852.538692,39071.958333333336,3131017,712652.5333333333
785,df2f8351-7db6-4734-8fa1-a3572ebc4f4d,localhost,lcgps02.gridpp.rl.ac.uk,7703471690.046566,38768.73333333333,3539887,1721881.8666666667
786,296e3037-abeb-4798-963f-7c5cf2f9bcb9,localhost,lcgps02.gridpp.rl.ac.uk,7035662779.07582,38657.4,1795608,1612655.2
787,54422523-ad9f-4834-b771-6e659f862e7f,localhost,perfsonar.na.infn.it,8590752324.679966,55921.541666666664,4900746,2049561.8666666667
788,3bc47e6f-85ba-4a8e-bbcb-b1995385945e,localhost,perfsonar.na.infn.it,7437027872.290596,56853.183333333334,2767006,2547877.7333333334
789,e34b568e-35a4-4365-93e1-8733552d13cf,localhost,perfsonar.na.infn.it,7522822140.33279,55275.058333333334,1287802,1961094.5333333334
790,12112777-6e70-4ee6-bcde-bb5c84405ddc,localhost,perfsonar.na.infn.it,8548096616.49213,56048.13333333333,831222,1437892.5333333334
