,UUID,HOSTNAME,ALIAS,TIMESTAMP,STREAMS,THROUGHPUT (Sender),THROUGHPUT (Receiver),LATENCY (min.),LATENCY (max.),LATENCY (mean),RETRANSMITS,CONGESTION (Sender),CONGESTION (Receiver),BYTES (Receiver)
119,df58d09d-8de1-4aea-aedb-e8b155a61d4d,10.201.1.2,hostB,2021-06-28T21:25:53.488Z,1,3724475651.143828,3671888931.214148,50148.5,52077.5,50896.0,319,bbr2,bbr2,27585387804
120,761454d8-2bb8-4d04-903a-186ffe4c10fe,10.201.1.2,hostB,2021-06-28T21:27:06.986Z,1,4587121082.378467,4545706600.5375,50141.5,52506.0,51201.5,360,bbr2,bbr2,34149939036
121,afb87869-1fd8-4b12-9d00-924a569ac854,10.201.1.2,hostB,2021-06-28T21:28:20.443Z,1,5477012689.618528,5437102384.414147,50154.5,52494.5,51292.0,428,bbr2,bbr2,40846747508
122,10d6f160-9cce-4082-ac0e-25d88435b048,10.201.1.2,hostC,2021-06-28T21:29:34.774Z,1,971986858.0188367,964681025.0308415,20163.0,20964.0,20749.0,0,bbr2,bbr2,7240019120
123,d2607e64-1f2c-47ef-af45-caf72286bc5a,10.201.1.2,hostC,2021-06-28T21:30:47.604Z,1,1939479463.4885721,1925051244.0790114,20135.0,20877.0,20491.0,0,bbr2,bbr2,14447615224
124,17d2a28e-6c0a-4230-bc26-2d9ac896f9e6,10.201.1.2,hostC,2021-06-28T21:32:00.456Z,1,2914121172.991965,2892447779.7347536,20204.5,20941.0,20772.0,0,bbr2,bbr2,21707995580
125,1b3b7367-3454-40bf-aac2-2ffdda009d5a,10.201.1.2,hostC,2021-06-28T21:33:13.316Z,1,3881089648.8319626,3852088539.590293,20187.5,21047.5,20801.5,0,bbr2,bbr2,28910201840
126,f6d7e44f-76b9-4d7f-9ac1-74b65ff5c43b,10.201.1.2,hostC,2021-06-28T21:34:26.169Z,1,4846650414.515976,4810335839.931436,20200.5,21285.0,21041.0,0,bbr2,bbr2,36102094204
127,b9b511f1-248f-466d-a2e3-445946005d25,10.201.1.2,hostC,2021-06-28T21:35:39.025Z,1,5814820520.122183,5771162576.703056,20176.0,21257.5,21047.0,0,bbr2,bbr2,43313031060
128,66a3a3d2-9e4f-4df6-a15b-0316040c23bc,10.201.1.2,hostA,2021-06-28T21:36:53.734Z,4,972233463.5942924,961403712.8322507,30184.5,30995.5,30758.0,0,bbr2,bbr2,7217819132
129,4a7e92f9-c4fb-45f3-8b86-d95e462095ee,10.201.1.2,hostA,2021-06-28T21:38:07.011Z,4,1948557461.9670658,1926985283.2286189,30213.5,30891.0,30607.0,0,bbr2,bbr2,14466951852
130,52dc242f-9c5e-46ad-a928-85a3393f0b07,10.201.1.2,hostA,2021-06-28T21:39:20.300Z,4,2364493188.1497273,2335545302.50492,30238.5,31423.0,30965.5,0,bbr2,bbr2,17534612588
131,190f5c5a-342a-457e-9367-d55b226181a1,10.201.1.2,hostA,2021-06-28T21:40:33.584Z,4,2611088215.080496,2571978214.454426,30396.0,31399.0,31154.0,0,bbr2,bbr2,19309895788
132,21ba6003-4440-4cc3-9939-059b1ddac613,10.201.1.2,hostA,2021-06-28T21:41:46.882Z,4,2445590408.936333,2416181835.212571,30217.0,31789.5,31136.0,0,bbr2,bbr2,18140231124
133,cb961fcd-60e5-45d8-a949-5b608d71b7ed,10.201.1.2,hostA,2021-06-28T21:43:00.169Z,4,2280956694.3186336,2242525499.47194,30653.0,31796.0,31276.5,0,bbr2,bbr2,16836400148
134,aa6b8fa0-71b5-45e0-9387-c95bfb3dbb97,10.201.1.2,hostB,2021-06-28T21:44:15.451Z,4,970597061.6143585,952157597.9006896,50170.5,52831.5,50642.0,85,bbr2,bbr2,7153142988
135,c61da597-2183-4c5e-81ed-ca349830b561,10.201.1.2,hostB,2021-06-28T21:45:29.245Z,4,1908713042.753624,1873282689.0609546,50142.0,51433.0,50696.5,181,bbr2,bbr2,14073168268
136,24c50992-c934-4751-9cca-ed6675a13a73,10.201.1.2,hostB,2021-06-28T21:46:43.042Z,4,2468477098.585879,2422196568.418502,50147.0,51812.5,51065.0,193,bbr2,bbr2,18197435688
137,2baa70c4-b5d6-4682-af95-bf0a4db885c7,10.201.1.2,hostB,2021-06-28T21:47:56.826Z,4,2608295127.645847,2566061497.669958,50162.0,52041.0,51321.0,263,bbr2,bbr2,19278225668
138,b1147fc9-4825-4d75-bf5a-602a5a24e0be,10.201.1.2,hostB,2021-06-28T21:49:10.636Z,4,3014614923.3134475,2970173859.257679,50141.0,52200.0,51343.0,252,bbr2,bbr2,22314598396
139,dc30d56a-fac1-465e-ab87-55053e8f31e2,10.201.1.2,hostB,2021-06-28T21:50:24.435Z,4,2308398445.270391,2263194880.186178,50161.0,52218.5,51233.0,212,bbr2,bbr2,17002958220
140,e8e54987-2a2e-48a7-8b80-dc79da97152f,10.201.1.2,hostC,2021-06-28T21:51:38.841Z,4,972525407.0393108,965132992.1421112,20177.5,21015.0,20775.0,0,bbr2,bbr2,7243374620
141,a3acc420-bdd7-4c20-89f8-7354dab4cfbb,10.201.1.2,hostC,2021-06-28T21:52:51.836Z,4,1941758307.5860028,1927249204.045523,20183.5,20886.5,20719.0,0,bbr2,bbr2,14464124284
142,43b9764e-9da4-4220-9295-1346cc21c86b,10.201.1.2,hostC,2021-06-28T21:54:04.818Z,4,2569156003.6378613,2551623328.0721326,20240.5,21201.5,20981.5,0,bbr2,bbr2,19150591396
143,a863c7d7-331c-441d-9179-8b9cf2cdfc8a,10.201.1.2,hostC,2021-06-28T21:55:17.810Z,4,2891742310.582239,2870525624.9715824,20475.5,21328.0,21136.0,0,bbr2,bbr2,21544130856
144,247c4b03-41d0-4360-9e25-eada6a2bb4e1,10.201.1.2,hostC,2021-06-28T21:56:30.798Z,4,2680629628.8148212,2658751479.6216574,20250.5,21300.5,21089.5,0,bbr2,bbr2,19954831836
145,2e01ab26-4733-4a53-85d3-4d45d059db74,10.201.1.2,hostC,2021-06-28T21:57:43.798Z,4,2051859918.7610934,2030815159.9840865,20207.5,21386.0,21128.5,0,bbr2,bbr2,15241839704
